feature,mi_score
away_downs_firstDowns,0.035482587098466745
away_diff_total_pointsFor_roll5,0.035145584271262464
home_diff_total_pointsFor_roll5,0.035145529308289625
away_receiving_totalTouchdowns,0.034948928637783094
away_miscellaneous_firstDownsPerGame,0.034609448086430294
away_kicking_fieldGoalsMade,0.034200162090957775
away_downs_thirdDownConversionPct,0.03397537521660432
away_scoring_fieldGoals,0.03384758647839936
home_diff_total_differential_roll5,0.03363641593851785
away_scoring_defensivePoints,0.03310459720785541
away_passing_totalTouchdowns,0.032927306042407345
home_scoring_passingTouchdowns,0.03255570809637964
away_diff_point_diff_trend,0.03249741613595658
away_kicking_extraPointPct,0.03232103608899495
away_kicking_fieldGoalAttempts,0.03216265180386335
home_returning_kickReturnYards,0.03196716127980048
home_receiving_totalTouchdowns,0.031938722011594756
away_rushing_longRushing,0.031718409893878086
away_scoring_passingTouchdowns,0.031174042165805105
away_miscellaneous_thirdDownConvs,0.030800352091230998
home_passing_totalTouchdowns,0.030717693702286386
away_kicking_fieldGoalsMadeYards,0.030091319847266096
away_defensive_longInterception,0.029878347884316092
home_receiving_receivingTouchdowns,0.029120160824758212
away_passing_passingTouchdowns,0.028872772204464603
home_diff_total_differential_roll3,0.028777955974646385
home_kicking_extraPointPct,0.028722374703693543
home_miscellaneous_thirdDownConvs,0.027957458962229786
away_defensive_totalTouchdowns,0.027173126642208167
home_scoring_fieldGoals,0.026994447850284153
home_diff_win_streak,0.026831486990067432
home_total_differential_std,0.02656097638879995
home_returning_oppFumbleRecoveries,0.026402254425830662
away_defensive_defensiveTouchdowns,0.025781007875993467
away_rushing_rushingBigPlays,0.02532846030512248
home_total_pointDifferential_std,0.024934552038163638
away_kicking_fieldGoalAttemptYards,0.024788402906839035
away_diff_total_pointsFor_roll3,0.0246200395524232
home_diff_points_scored_trend,0.024542010299633432
away_returning_defFumbleReturns,0.02422789637625611
home_returning_fumbleRecoveries,0.023929392913838665
home_kicking_fieldGoalsMade,0.023802519776400466
home_kicking_fieldGoalsMadeYards,0.023714924881483412
home_passing_passingFumblesLost,0.023670900096894876
home_downs_thirdDownConversions,0.023656477309137447
away_total_OTWins,0.02343388181639794
away_returning_oppFumbleRecoveries,0.023014465717140276
home_passing_passingTouchdowns,0.022217868986793565
home_diff_total_pointsFor_roll3,0.021965788062925373
home_home_OTLosses,0.021711243862123197
away_defensiveInterceptions_interceptionTouchdowns,0.021377915734628328
away_defensive_interceptionTouchdowns,0.021307522883653007
home_defensive_fumblesRecovered,0.020157108392740763
home_total_OTLosses,0.019952335104339358
away_opp_total_differential_roll5,0.019761999402795993
away_diff_win_streak,0.01939020663612334
home_kicking_fieldGoalAttempts,0.019098104428686202
away_returning_fumbleRecoveries,0.01850540763615216
away_diff_points_scored_trend,0.01847009149169132
away_receiving_receivingTouchdowns,0.017575845985564165
away_defensive_fumblesRecovered,0.017540517805358924
home_total_pointDifferential_roll5,0.016860808597868093
home_total_differential_roll5,0.015798980507639282
home_passing_passingFumbles,0.014948549582896042
home_returning_defFumbleReturns,0.014258959021015816
home_kicking_touchbacks,0.012621436771206085
