,slope,r_squared,p_value,pct_change_1999_2024
scoring_kickExtraPoints,0.3483030052384891,0.7479563983110563,1.2095153206455082e-08,28.993428111587978
kicking_extraPointAttempts,0.3483030052384891,0.7479563983110563,1.2095153206455082e-08,28.993428111587978
miscellaneous_firstDownsPenalty,0.41918941273779986,0.6017994731030536,3.2235768857156364e-06,28.664250353606796
punting_netAvgPuntYards,0.4379173056734755,0.9395393247547393,3.9578688556921095e-16,28.082495605370443
rushing_rushingYardsPerGame,0.6736946983611478,0.5688520704502159,8.57871473806845e-06,27.407044727974437
passing_completionPct,0.5165809012008644,0.886100119357945,8.123185150909929e-13,27.36439473703614
kicking_fieldGoalsMade30_39,0.08464571271022885,0.6775803002204466,2.4280146952517e-07,27.347417840375588
home_OTLosses,-0.0028487730907085737,0.06863574727063763,0.19605081616215855,-27.34375
returning_fumbleRecoveries,-0.12460573476702508,0.7831492683340546,1.9489600556122594e-09,-27.343749999999993
rushing_yardsPerRushAttempt,0.035574006703411355,0.8285180127338361,1.1360217029350079e-10,27.284834301286292
miscellaneous_firstDowns,3.2778470448551014,0.8631547060748562,7.437272792754053e-12,26.527932286262512
miscellaneous_fumblesLost,-0.13310069972633298,0.7469476214041864,1.2696759686714537e-08,-26.32041871547699
general_fumblesLost,-0.13310069972633298,0.7469476214041864,1.2696759686714537e-08,-26.32041871547699
miscellaneous_totalTakeaways,-0.2704773228563551,0.8365892138425985,6.3418499012098e-11,-26.290760869565222
receiving_netTotalYards,51.06952907986111,0.9243972474926777,5.8274342736952794e-15,26.23017132282257
passing_totalYardsFromScrimmage,51.06952907986111,0.9243972474926777,5.8274342736952794e-15,26.23017132282257
rushing_totalYardsFromScrimmage,51.06952907986111,0.9243972474926777,5.8274342736952794e-15,26.23017132282257
rushing_totalYards,51.06952907986111,0.9243972474926777,5.8274342736952794e-15,26.23017132282257
passing_totalYards,51.06952907986111,0.9243972474926777,5.8274342736952794e-15,26.23017132282257
receiving_totalYards,51.06952907986111,0.9243972474926777,5.8274342736952794e-15,26.23017132282257
passing_netTotalYards,51.06952907986111,0.9243972474926777,5.8274342736952794e-15,26.23017132282257
receiving_totalYardsFromScrimmage,51.06952907986111,0.9243972474926777,5.8274342736952794e-15,26.23017132282257
rushing_netTotalYards,51.06952907986111,0.9243972474926777,5.8274342736952794e-15,26.23017132282257
passing_interceptionPct,-0.032607736547220066,0.7832540029823539,1.9375768869743833e-09,-26.07690738382482
scoring_totalPointsPerGame,0.3156447723061516,0.8072379832899582,4.679080856577456e-10,26.020899410965097
defensiveInterceptions_interceptions,-0.1458715823572925,0.7514056262812304,1.023049512185404e-08,-25.61383843421936
punting_grossAvgPuntYards,0.423815152379577,0.921820410326616,8.723747989652111e-15,25.58295231988733
kicking_extraPointsMade,0.25939447201543975,0.5914217900522414,4.423424692313564e-06,25.064467969598258
scoring_kickExtraPointsMade,0.25939447201543975,0.5914217900522414,4.423424692313564e-06,25.064467969598258
miscellaneous_firstDownsPassing,2.076880660097823,0.876241030047721,2.211005045538794e-12,24.60268884897232
passing_passingFirstDowns,2.076880660097823,0.876241030047721,2.211005045538794e-12,24.60268884897232
miscellaneous_totalGiveaways,-0.2636149095062516,0.802267952557366,6.368627177264633e-10,-24.589012563228607
receiving_receivingFirstDowns,2.085473158094618,0.8770068828774413,2.051472696173297e-12,24.513104557991028
kicking_fieldGoalAttempts,0.25649296939619526,0.7124466193084975,6.01229724014637e-08,24.29876294591485
kicking_longFieldGoalMade,0.46163978494623664,0.8702262498475386,3.919935803233785e-12,23.989099859353033
kicking_longFieldGoalAttempt,0.45443961952026474,0.8775061487001599,1.9532350510481693e-12,23.468137254901958
passing_interceptions,-0.13051420228094116,0.6974236444983097,1.1183948800603677e-07,-23.332056403160095
miscellaneous_thirdDownConvPct,0.2923886781714045,0.8072971721700382,4.661713759641256e-10,23.095145151127618
