feature,count,mean,median,std,min,max,q25,q75,skewness,kurtosis
scoring_rushingTouchdowns,13564,0.7799322009086609,1.0,0.9134199023246765,0.0,8.0,0.0,1.0,1.1753606134860177,1.3970046560874687
kicking_totalKickingPoints,13564,6.496682394573872,6.0,3.940283157076551,0.0,26.0,4.0,9.0,0.2772195678129416,-0.24210154187825905
kicking_longFieldGoalAttempt,13564,34.48665585373046,41.0,18.659651620340057,0.0,71.0,27.0,48.0,-0.9077513470135827,-0.4899166399219359
total_pointsFor,13564,22.038779121203184,21.0,10.236600847780334,0.0,70.0,14.0,28.0,0.2787251005481576,-0.05549947678024081
kicking_fieldGoalsMissedYards,13564,13.74284839630127,0.0,25.24417495727539,0.0,210.0,0.0,30.0,1.8778719348919086,3.581560500009247
total_pointDifferential,13564,0.0,0.0,14.787471756412359,-59.0,59.0,-8.0,8.0,0.0,0.23519708012931773
rushing_rushingTouchdowns,13564,0.7799322009086609,1.0,0.9134199023246765,0.0,8.0,0.0,1.0,1.1753606134860177,1.3970046560874687
rushing_totalPoints,13564,22.038779121203184,21.0,10.236600847780334,0.0,70.0,14.0,28.0,0.2787251005481576,-0.05549947678024081
total_differential,13564,0.0,0.0,14.787471756412359,-59.0,59.0,-8.0,8.0,0.0,0.23519708012931773
kicking_fieldGoalsMade50_59,13564,0.14730168092008258,0.0,0.4003326827028436,0.0,4.0,0.0,0.0,2.928266690217538,9.588949607682823
kicking_fieldGoalsMade1_19,13564,0.01924211147154232,0.0,0.14056316746649555,0.0,2.0,0.0,0.0,7.471747453853641,57.95995399128453
kicking_fieldGoalAttempts1_19,13564,0.01938956060159245,0.0,0.14106653544787934,0.0,2.0,0.0,0.0,7.438469540899656,57.40795229146809
defensiveInterceptions_interceptions,13564,0.8647153973579407,1.0,1.0074101686477661,0.0,7.0,0.0,1.0,1.2154023791781097,1.3584398000178401
kicking_extraPointAttempts,13564,2.1397080507225006,2.0,1.5305450843072275,0.0,10.0,1.0,3.0,0.5347945540776186,-0.01315824562170409
kicking_fieldGoalsMade,13564,1.474270126806252,1.0,1.2193003033247314,0.0,8.0,1.0,2.0,0.6668445909877074,0.11807806204716709
kicking_extraPointsMade,13564,2.0738720141551164,2.0,1.5171846183795918,0.0,10.0,1.0,3.0,0.5591435823182289,0.009499283999655717
receiving_receptions,13564,19.404895782470703,20.0,7.802671909332275,0.0,47.0,16.0,24.0,-0.5878849250351043,0.78287790300217
receiving_totalPoints,13564,22.038779121203184,21.0,10.236600847780334,0.0,70.0,14.0,28.0,0.2787251005481576,-0.05549947678024081
kicking_fieldGoalAttempts20_29,13564,0.45664995576526096,0.0,0.6754295889952794,0.0,5.0,0.0,1.0,1.4433322734914427,1.914269686907386
kicking_fieldGoalAttempts30_39,13564,0.5248451784134474,0.0,0.723247445093571,0.0,5.0,0.0,1.0,1.3224058025079812,1.513042711309395
kicking_fieldGoalAttempts40_49,13564,0.5379681509879092,0.0,0.7410129747367775,0.0,5.0,0.0,1.0,1.3851188145061468,1.9058397303346943
kicking_fieldGoalAttempts50_59,13564,0.23348569743438513,0.0,0.49635928788471056,0.0,4.0,0.0,0.0,2.1885015377765646,4.859182039111912
passing_totalPoints,13564,22.038779121203184,21.0,10.236600847780334,0.0,70.0,14.0,28.0,0.2787251005481576,-0.05549947678024081
kicking_fieldGoalsMade20_29,13564,0.4402093777646712,0.0,0.6633688509044589,0.0,5.0,0.0,1.0,1.4679139662683682,1.9752549569222895
kicking_extraPointsBlocked,13564,0.013417870834562076,0.0,0.11506001739162483,0.0,1.0,0.0,0.0,8.458195604628877,69.5410728861633
defensive_sacks,13564,2.1742849349975586,2.0,1.7689263820648193,0.0,12.0,1.0,3.0,0.8581305103823411,0.6949903866120439
kicking_longFieldGoalMade,13564,30.05868475375995,36.0,19.110144362556973,0.0,66.0,19.0,45.0,-0.5923445481113329,-1.080291623128018
kicking_fieldGoalsMade40_49,13564,0.40084046004128576,0.0,0.6418535618773219,0.0,5.0,0.0,1.0,1.6089457462395975,2.5532474264475065
kicking_fieldGoalsMade60_99,13564,0.0024329106458271894,0.0,0.049266322510498485,0.0,1.0,0.0,0.0,20.199820342627774,406.0327418744387
total_pointsAgainst,13564,22.038779121203184,21.0,10.236600847780334,0.0,70.0,14.0,28.0,0.2787251005481576,-0.05549947678024081
rushing_twoPtRush,13564,0.024181657328221765,0.0,0.15927386664040036,0.0,2.0,0.0,0.0,6.840401701670596,49.537128014553176
scoring_twoPointRushConvs,13564,0.024181657328221765,0.0,0.15927386664040036,0.0,2.0,0.0,0.0,6.840401701670596,49.537128014553176
kicking_fieldGoalAttemptYards,13564,66.615234375,60.0,51.72921371459961,0.0,335.0,28.0,99.0,0.6709243443799365,0.22627250305846358
total_OTWins,13564,0.02912120318490121,0.0,0.16815244063045123,0.0,1.0,0.0,0.0,5.600824509910613,29.36923519081543
total_OTLosses,13564,0.02912120318490121,0.0,0.16815244063045123,0.0,1.0,0.0,0.0,5.600824509910613,29.36923519081543
punting_puntsBlocked,13564,0.023149512708187103,0.0,0.15281552076339722,0.0,2.0,0.0,0.0,6.6495386451656495,44.752722540989986
passing_sackYardsLost,13564,14.143689155578613,12.0,12.69564151763916,0.0,91.0,4.0,21.0,1.055693172987877,1.1849155034772236
scoring_totalTwoPointConvs,13564,0.07239752285461516,0.0,0.2751613218560124,0.0,3.0,0.0,0.0,3.9419562583272723,16.432499635430442
returning_puntReturnFairCatches,13564,1.0033175945281982,1.0,1.0764087438583374,0.0,7.0,0.0,2.0,1.132049396344205,1.2988339448094486
punting_puntsInside20,13564,1.4323208332061768,1.0,1.2242742776870728,0.0,8.0,0.0,2.0,0.7971258390924058,0.499559704218
kicking_fieldGoalsMade50,13564,0.14973459156590976,0.0,0.40447335003576823,0.0,4.0,0.0,0.0,2.9202021328971535,9.56275084714354
kicking_fieldGoalAttempts60_99,13564,0.00928929519315836,0.0,0.09821437130024348,0.0,2.0,0.0,0.0,10.922610618202183,125.94666211780594
road_winPercent,13564,21.837216160424653,0.0,41.315656269965416,0.0,100.0,0.0,0.0,1.3633486471785505,-0.14128046623641666
home_winPercent,13564,28.059569448540255,0.0,44.93068372378577,0.0,100.0,0.0,100.0,0.9766706202566153,-1.0461144995275582
total_winPercent,13564,49.896785608964905,0.0,50.00173667989808,0.0,100.0,0.0,100.0,0.004128584437949109,-1.999982954790539
total_avgPointsFor,13564,22.038779121203184,21.0,10.236600847780334,0.0,70.0,14.0,28.0,0.2787251005481576,-0.05549947678024081
total_avgPointsAgainst,13564,22.038779121203184,21.0,10.236600847780334,0.0,70.0,14.0,28.0,0.2787251005481576,-0.05549947678024081
receiving_totalPointsPerGame,13564,22.038779121203184,21.0,10.236600847780334,0.0,70.0,14.0,28.0,0.2787251005481576,-0.05549947678024081
passing_totalPointsPerGame,13564,22.038779121203184,21.0,10.236600847780334,0.0,70.0,14.0,28.0,0.2787251005481576,-0.05549947678024081
rushing_totalPointsPerGame,13564,22.038779121203184,21.0,10.236600847780334,0.0,70.0,14.0,28.0,0.2787251005481576,-0.05549947678024081
kicking_extraPointPct,13564,81.39114743508728,100.0,37.49023784362065,0.0,100.0,100.0,100.0,-1.6353373873489077,0.7879559691299889
kicking_extraPointsBlockedPct,13564,0.6169166280490372,0.0,6.213640433458783,0.0,100.0,0.0,0.0,12.575477380965744,177.52536638151722
