feature,correlation,abs_correlation,p_value,significant
passing_interceptionPct,-0.2569858438964948,0.2569858438964948,1.6444334329815842e-203,True
scoring_receivingTouchdowns,0.2540749989341234,0.2540749989341234,8.090407684258801e-199,True
passing_passingTouchdowns,0.2540749989341234,0.2540749989341234,8.090407684258801e-199,True
receiving_receivingTouchdowns,0.2540749989341234,0.2540749989341234,8.090407684258801e-199,True
scoring_passingTouchdowns,0.2540749989341234,0.2540749989341234,8.090407684258801e-199,True
defensiveInterceptions_interceptionYards,0.244834169312761,0.244834169312761,2.5265650091175404e-184,True
kicking_fieldGoalsMade,0.24164306415243267,0.24164306415243267,1.851258493234324e-179,True
scoring_fieldGoals,0.24164306415243267,0.24164306415243267,1.851258493234324e-179,True
miscellaneous_thirdDownConvPct,0.2410209511571563,0.2410209511571563,1.612707693187615e-178,True
passing_yardsPerCompletion,0.23871127583387047,0.23871127583387047,4.720833078264599e-175,True
kicking_kickoffReturnYards,-0.23865173905885342,0.23865173905885342,5.792690444691662e-175,True
returning_kickReturnYards,-0.2356875110954771,0.2356875110954771,1.4316910407893484e-170,True
defensive_longInterception,0.2317149323893091,0.2317149323893091,8.857402875705332e-165,True
miscellaneous_thirdDownConvs,0.22057444935001613,0.22057444935001613,4.052844696500737e-149,True
kicking_fieldGoalsMadeYards,0.22030902650463788,0.22030902650463788,9.343359851055152e-149,True
passing_passingAttempts,-0.21742292068607577,0.21742292068607577,7.653923222291415e-145,True
passing_netPassingAttempts,-0.21742292068607577,0.21742292068607577,7.653923222291415e-145,True
kicking_fieldGoalAttempts,0.2085352032046705,0.2085352032046705,3.810116501992404e-133,True
passing_completionPct,0.20797953727095972,0.20797953727095972,1.9705302003273586e-132,True
returning_fumbleRecoveries,0.20246849474416231,0.20246849474416231,1.8223388634859636e-125,True
miscellaneous_firstDownsPerGame,0.2019568273568914,0.2019568273568914,7.890550823942808e-125,True
miscellaneous_firstDowns,0.2019568273568914,0.2019568273568914,7.890550823942808e-125,True
kicking_extraPointPct,0.20095869827567542,0.20095869827567542,1.3604995730675747e-123,True
defensive_defensiveTouchdowns,0.1934017613562477,0.1934017613562477,1.91369424638516e-114,True
rushing_rushingBigPlays,0.19303455297844482,0.19303455297844482,5.209517731978611e-114,True
passing_passingFumbles,-0.19127410166036918,0.19127410166036918,6.15993306259347e-112,True
defensive_stuffYards,0.19091673047917027,0.19091673047917027,1.6138506104317616e-111,True
passing_passingFumblesLost,-0.18767352322813108,0.18767352322813108,9.238833628860945e-108,True
rushing_longRushing,0.18094475425752946,0.18094475425752946,3.490260212452483e-100,True
defensive_avgInterceptionYards,0.17791003056995372,0.17791003056995372,7.311209927077605e-97,True
kicking_fieldGoalAttemptYards,0.17666952621794907,0.17666952621794907,1.6010678806839877e-95,True
total_OTWins,0.17354761874072186,0.17354761874072186,3.418431491160715e-92,True
total_OTLosses,-0.17283259029387946,0.17283259029387946,1.938859980442904e-91,True
general_fumblesLost,-0.17194546427144514,0.17194546427144514,1.652365798616935e-90,True
miscellaneous_fumblesLost,-0.17194546427144514,0.17194546427144514,1.652365798616935e-90,True
kicking_fieldGoalPct,0.16860732676822812,0.16860732676822812,4.725088403318871e-87,True
defensiveInterceptions_interceptionTouchdowns,0.16585824691399323,0.16585824691399323,2.9324235396278737e-84,True
receiving_receivingTargets,-0.16402127659854293,0.16402127659854293,2.0254654180873333e-82,True
kicking_longFieldGoalMade,0.16026103665981345,0.16026103665981345,1.0104693141780984e-78,True
general_fumbles,-0.15476828417395472,0.15476828417395472,1.7585328368632245e-73,True
receiving_yardsPerReception,0.15293245263272678,0.15293245263272678,8.999061643691055e-72,True
defensive_avgSackYards,0.15012067485116637,0.15012067485116637,3.393346432950738e-69,True
kicking_fieldGoalsMade30_39,0.1496767664154999,0.1496767664154999,8.567153473379573e-69,True
kicking_fieldGoalsMade20_29,0.14663112103149656,0.14663112103149656,4.560615969566685e-66,True
kicking_fieldGoalAttempts20_29,0.14395390995316196,0.14395390995316196,1.017252855866126e-63,True
kicking_fieldGoalAttempts30_39,0.14125704083536264,0.14125704083536264,2.127146056024647e-61,True
returning_puntReturnYards,0.13402962638545587,0.13402962638545587,2.103644059098046e-55,True
road_OTLosses,-0.12694694866456918,0.12694694866456918,7.659512263986805e-50,True
passing_netPassingYardsPerGame,0.12470338591686175,0.12470338591686175,3.8134992990454884e-48,True
passing_passingYards,0.12470338591686175,0.12470338591686175,3.8134992990454884e-48,True
passing_netPassingYards,0.12470338591686175,0.12470338591686175,3.8134992990454884e-48,True
passing_passingYardsPerGame,0.12470338591686175,0.12470338591686175,3.8134992990454884e-48,True
passing_longPassing,0.12162286696593103,0.12162286696593103,7.26399111801213e-46,True
punting_puntReturnYards,-0.11910827935367452,0.11910827935367452,4.775994686532762e-44,True
home_OTLosses,-0.11540398818886988,0.11540398818886988,1.9346338821172703e-41,True
receiving_receivingBigPlays,0.11325465847210403,0.11325465847210403,5.7700350016736956e-40,True
passing_passingBigPlays,0.11325465847210403,0.11325465847210403,5.7700350016736956e-40,True
returning_longPuntReturn,0.11262601546697316,0.11262601546697316,1.5386849239879614e-39,True
kicking_longFieldGoalAttempt,0.10824080269110611,0.10824080269110611,1.2352372807259977e-36,True
kicking_fieldGoalsMade40_49,0.1075406734029255,0.1075406734029255,3.504953258315301e-36,True
punting_puntYards,-0.1069445750720147,0.1069445750720147,8.471721316499552e-36,True
punting_puntsInside20Pct,0.10595583225076653,0.10595583225076653,3.6222906767807344e-35,True
general_defensiveFumblesTouchdowns,0.10294911264011278,0.10294911264011278,2.7638149292860235e-33,True
miscellaneous_fourthDownConvs,-0.10141059214140503,0.10141059214140503,2.419109748069696e-32,True
defensive_assistTackles,-0.1013018806442825,0.1013018806442825,2.81635211385801e-32,True
punting_punts,-0.10074566467825782,0.10074566467825782,6.115288650837098e-32,True
rushing_yardsPerRushAttempt,0.09272843345111971,0.09272843345111971,2.710822705163262e-27,True
kicking_fieldGoalAttempts40_49,0.08616936268864969,0.08616936268864969,8.869987885626699e-24,True
passing_twoPtPassAttempts,-0.07742040728717231,0.07742040728717231,1.7252249911242795e-19,True
punting_avgPuntReturnYards,-0.07154406345149585,0.07154406345149585,7.2875954271708e-17,True
returning_longKickReturn,-0.07003603748508265,0.07003603748508265,3.1879773645121853e-16,True
receiving_receivingFirstDowns,0.06226714197641902,0.06226714197641902,3.920082952928187e-13,True
miscellaneous_firstDownsPassing,0.061679502856367766,0.061679502856367766,6.495217147934059e-13,True
passing_passingFirstDowns,0.061679502856367766,0.061679502856367766,6.495217147934059e-13,True
returning_puntReturnFairCatches,0.05980153862688287,0.05980153862688287,3.161353289972915e-12,True
receiving_totalOffensivePlays,0.05849027849294868,0.05849027849294868,9.279657161899481e-12,True
passing_totalOffensivePlays,0.05849027849294868,0.05849027849294868,9.279657161899481e-12,True
rushing_totalOffensivePlays,0.05849027849294868,0.05849027849294868,9.279657161899481e-12,True
defensive_safeties,0.053967363153591734,0.053967363153591734,3.189198047871072e-10,True
passing_completions,-0.053487600027604054,0.053487600027604054,4.567128391445907e-10,True
receiving_receptions,-0.053487600027604054,0.053487600027604054,4.567128391445907e-10,True
kicking_fieldGoalsMade1_19,0.053258576709253255,0.053258576709253255,5.415303563731283e-10,True
kicking_fieldGoalAttempts1_19,0.05307069180194468,0.05307069180194468,6.224240202365181e-10,True
receiving_receivingYardsPerGame,0.05082292237797639,0.05082292237797639,3.173686519349479e-09,True
receiving_receivingYards,0.05082292237797639,0.05082292237797639,3.173686519349479e-09,True
punting_touchbackPct,0.049758484881533935,0.049758484881533935,6.7046927339147235e-09,True
punting_fairCatches,-0.048528878179557325,0.048528878179557325,1.5611283764853434e-08,True
passing_passingYardsAfterCatch,0.048067120863377916,0.048067120863377916,2.1331707966949722e-08,True
receiving_receivingYardsAfterCatch,0.048059064748369,0.048059064748369,2.1447676138013832e-08,True
returning_puntReturnTouchdowns,0.04731378163403045,0.04731378163403045,3.5284934321141934e-08,True
miscellaneous_thirdDownAttempts,0.04687008150844076,0.04687008150844076,4.7291929980300755e-08,True
kicking_fieldGoalsMade50,0.04615196498072163,0.04615196498072163,7.555260442218579e-08,True
kicking_fieldGoalsMade50_59,0.04532761417551306,0.04532761417551306,1.2827765897015939e-07,True
miscellaneous_firstDownsPenalty,0.044072957173075876,0.044072957173075876,2.822029885849018e-07,True
defensive_totalTackles,-0.04260347492462643,0.04260347492462643,6.920111791345697e-07,True
kicking_fieldGoalsMissedYards,-0.03766720631987712,0.03766720631987712,1.1437230383743291e-05,True
punting_puntsInside20,0.036500453868407945,0.036500453868407945,2.1183646093009795e-05,True
kicking_extraPointsBlocked,0.03484252196287316,0.03484252196287316,4.9330132780355996e-05,True
scoring_totalTwoPointConvs,-0.033753498109404347,0.033753498109404347,8.429634509668668e-05,True
scoring_twoPointPassConvs,-0.032712616563206655,0.032712616563206655,0.00013866917684969373,True
passing_twoPtPass,-0.032712616563206655,0.032712616563206655,0.00013866917684969373,True
punting_puntsBlocked,-0.030564744159722452,0.030564744159722452,0.00037055274514992566,True
kicking_fieldGoalsBlockedPct,-0.030183874099483993,0.030183874099483993,0.00043838247583401284,True
punting_netAvgPuntYards,0.025872013387862044,0.025872013387862044,0.002583381454222019,True
receiving_receivingYardsAtCatch,0.02276055694719974,0.02276055694719974,0.008027809574077735,True
kicking_fieldGoalAttempts60_99,-0.022325110285008692,0.022325110285008692,0.00931778164325207,True
