,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,missing_pct
rushing_totalPointsPerGame,829.0,22.006940502377066,4.433337001944232,10.0625,18.75,21.875,25.0,37.875,0.28278112539460276,0.03298864539071111,0.0
punting_puntReturnYards,829.0,285.0989074707031,141.7733612060547,0.0,202.0,278.0,374.0,793.0,0.15890249609947205,0.290176123380661,0.0
defensive_safeties,829.0,0.46682751178741455,0.7175658345222473,0.0,0.0,0.0,1.0,5.0,1.7090595960617065,3.4689910411834717,0.0
defensive_avgInterceptionYards,829.0,12.742345563321408,5.88939159751771,-0.5,9.600000381469727,12.882352828979492,16.16666603088379,32.117645263671875,-0.08756439917380238,0.5126468246174776,0.0
general_defensiveFumblesTouchdowns,829.0,0.6924004825090471,0.8301112513763456,0.0,0.0,1.0,1.0,5.0,1.2225540275544893,1.6221301750581785,0.0
scoring_totalPoints,829.0,466.351025331725,167.43782050018092,0.0,398.0,479.0,570.0,930.0,-1.0541500233042278,1.9691335474314262,0.0
total_wins,829.0,8.16767189384801,3.1926269238395255,0.0,6.0,8.0,11.0,16.0,-0.06719569707637824,-0.7785563592730487,0.0
rushing_rushingYardsPerGame,829.0,107.2802189030015,35.41536031787857,0.0,96.52941176470588,111.0625,126.1875,207.875,-1.5272033204824218,3.3716985097280703,0.0
home_losses,829.0,3.5729794933655006,1.784540002384472,0.0,2.0,4.0,5.0,8.0,0.11599419597631144,-0.4988925545297165,0.0
receiving_receivingYards,829.0,3609.468017578125,1138.103271484375,0.0,3331.0,3792.0,4261.0,6030.0,-1.9447964429855347,4.215153217315674,0.0
rushing_rushingTouchdowns,829.0,12.761157989501953,6.0798540115356445,0.0,9.0,13.0,16.0,32.0,0.05827443301677704,0.3715617060661316,0.0
road_winPercent,829.0,43.484452486261894,22.32289754405252,0.0,25.0,37.5,62.5,100.0,0.13432330367400142,-0.5786011369625417,0.0
kicking_fieldGoalAttempts30_39,829.0,8.58745476477684,3.722063335097276,0.0,7.0,9.0,11.0,20.0,-0.35712873136635875,0.37821673561782587,0.0
miscellaneous_firstDownsPerGame,829.0,17.846306677073727,5.297265309568845,0.0,17.235294117647058,18.9375,20.529411764705884,27.4375,-2.4436791118718633,5.944546174980012,0.0
passing_totalYards,829.0,4908.21728515625,1494.5986328125,0.0,4659.0,5205.0,5751.0,8021.0,-2.237143039703369,5.132458209991455,0.0
