,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,missing_pct
passing_totalOffensivePlays,829.0,955.7659831121833,263.3417275325187,0.0,974.0,1018.0,1064.0,1193.0,-3.188495279010663,8.83930504401739,0.0
passing_sackYardsLost,829.0,231.41737365722656,95.86453247070312,0.0,184.0,238.0,289.0,504.0,-0.4905731976032257,0.5959891080856323,0.0
scoring_totalTwoPointConvs,829.0,1.1845597104945718,1.3172775890951318,0.0,0.0,1.0,2.0,7.0,1.3888852186944876,2.308698330942035,0.0
receiving_yardsPerReception,829.0,10.621166401806729,2.9840182166931637,0.0,10.662857055664062,11.29042911529541,11.88642692565918,13.827465057373047,-2.9747180434149296,7.984213884091936,0.0
kicking_extraPointAttempts,829.0,35.009650180940895,13.620012396448516,0.0,28.0,36.0,44.0,75.0,-0.6550617601370751,1.1478830295384292,0.0
passing_netPassingYardsPerGame,829.0,192.0527034698077,64.1784781736172,0.0,172.625,200.35294117647058,230.1875,335.52941176470586,-1.5314233244163864,2.9831051106454356,0.0
miscellaneous_fourthDownConvs,829.0,9.168878555297852,4.877033710479736,0.0,6.0,9.0,12.0,27.0,0.441316157579422,0.6891846060752869,0.0
punting_punts,829.0,70.10253317249699,22.857421037243856,0.0,64.0,75.0,83.0,116.0,-1.7406315971476374,3.4121519885135947,0.0
passing_twoPtPass,829.0,0.7889022919179735,1.0655212946396189,0.0,0.0,0.0,1.0,7.0,1.6954272913204425,3.858376444595024,0.0
kicking_totalKickingPoints,829.0,106.29794933655006,34.716161130168,0.0,97.0,112.0,128.0,175.0,-1.7407585072160248,3.368164386944746,0.0
home_winPercent,829.0,55.96386926302487,22.1645843647233,0.0,37.5,55.55555555555556,75.0,100.0,-0.13072103990680836,-0.5148085587743934,0.0
rushing_netTotalYards,829.0,4908.21728515625,1494.5986328125,0.0,4659.0,5205.0,5751.0,8021.0,-2.237143039703369,5.132458209991455,0.0
miscellaneous_totalTakeaways,829.0,22.93003618817853,8.994895365235724,0.0,19.0,24.0,28.0,48.0,-0.689340872212754,1.0027449447865773,0.0
scoring_totalTouchdowns,829.0,57.49216079711914,22.485454559326172,0.0,47.0,59.0,71.0,128.0,-0.6039102673530579,1.1832479238510132,0.0
passing_passingFumbles,829.0,9.745476722717285,4.3002214431762695,0.0,7.0,10.0,12.0,22.0,-0.32879194617271423,0.2608811557292938,0.0
passing_completions,829.0,317.5006103515625,99.06903076171875,0.0,297.0,335.0,371.0,508.0,-2.0202667713165283,4.492596626281738,0.0
punting_touchbackPct,829.0,7.286702873018783,3.8594698691418006,0.0,4.819277108433735,7.446808510638298,9.615384615384617,20.0,0.1339480855094203,-0.011108845450169103,0.0
general_fumblesLost,829.0,9.683956146240234,4.3623881340026855,0.0,7.0,10.0,12.0,23.0,-0.208710715174675,0.2291533648967743,0.0
rushing_rushingFirstDowns,829.0,97.27623748779297,33.751182556152344,0.0,85.0,100.0,117.0,193.0,-1.2383252382278442,2.4478869438171387,0.0
miscellaneous_turnOverDifferential,829.0,-0.7454764776839565,8.890727918389478,-26.0,-7.0,0.0,6.0,26.0,-0.03193144994619166,-0.05520875462416042,0.0
punting_puntYards,829.0,3080.4765625,1006.12646484375,0.0,2778.0,3236.0,3685.0,5209.0,-1.698665738105774,3.4070513248443604,0.0
kicking_fieldGoalsMade50,829.0,2.4499396863691194,2.3403549879853323,0.0,1.0,2.0,4.0,14.0,1.3346633636233634,2.117136928995517,0.0
kicking_fieldGoalsMade20_29,829.0,7.202653799758745,3.4039537542983167,0.0,5.0,7.0,10.0,19.0,-0.19692852066024252,0.027396156025341956,0.0
returning_kickReturnFairCatchPct,829.0,0.28731078488856643,1.2475662127071576,0.0,0.0,0.0,0.0,21.428571428571427,10.160479541635079,137.52311269630707,0.0
passing_passingAttempts,829.0,550.001220703125,159.66110229492188,0.0,538.0,584.0,628.0,776.0,-2.6514039039611816,6.699948310852051,0.0
receiving_receivingYardsPerGame,829.0,220.21547044632086,68.93779557534089,0.0,205.5,230.8125,258.6875,354.70588235294116,-1.9930832879770712,4.4042190241209145,0.0
kicking_fieldGoalsMade40_49,829.0,6.558504221954162,3.28302848309537,0.0,4.0,7.0,9.0,17.0,0.05110135294311132,-0.07614770951559358,0.0
rushing_rushingBigPlays,829.0,10.004825090470446,5.264499267337286,0.0,7.0,10.0,13.0,34.0,0.4377250512875892,0.8984107845217473,0.0
defensive_passesDefended,829.0,69.26537997587455,22.96325610457464,0.0,63.0,72.0,82.0,123.0,-1.5336552773227192,3.2118182790888796,0.0
returning_puntReturnFairCatches,829.0,16.41616439819336,7.3756537437438965,0.0,12.0,17.0,21.0,38.0,-0.286639928817749,0.21551057696342468,0.0
miscellaneous_fumblesLost,829.0,9.683956146240234,4.3623881340026855,0.0,7.0,10.0,12.0,23.0,-0.208710715174675,0.2291533648967743,0.0
kicking_fieldGoalsBlockedPct,829.0,1.981118365610492,2.800788156389654,0.0,0.0,0.0,3.3333333333333335,19.230769230769234,1.662885143109846,3.402567059363897,0.0
passing_passingTouchdownPct,829.0,3.722486972462822,1.5276770648098614,0.0,2.9661016538739204,3.727714717388153,4.663212597370148,9.61538478732109,-0.33494764713551156,1.1844797456972427,0.0
punting_puntsBlocked,829.0,0.3787696063518524,0.6168588995933533,0.0,0.0,0.0,1.0,3.0,1.552170753479004,1.9443453550338745,0.0
kicking_fieldGoalsMissedYards,829.0,224.85887145996094,120.22034454345703,0.0,145.0,224.0,302.0,623.0,0.17208470404148102,-0.08205334842205048,0.0
defensiveInterceptions_interceptionTouchdowns,829.0,1.4294330518697225,1.3392630073362357,0.0,0.0,1.0,2.0,8.0,0.9601332610094784,0.8212358752597311,0.0
miscellaneous_totalGiveaways,829.0,23.675512313842773,9.066163063049316,0.0,19.0,24.0,29.0,45.0,-0.8377236127853394,1.0678696632385254,0.0
receiving_totalYardsFromScrimmage,829.0,4908.21728515625,1494.5986328125,0.0,4659.0,5205.0,5751.0,8021.0,-2.237143039703369,5.132458209991455,0.0
kicking_fieldGoalsMade60_99,829.0,0.039806996381182146,0.20760414160807888,0.0,0.0,0.0,0.0,2.0,5.504979573640716,32.47157370433321,0.0
receiving_totalYards,829.0,4908.21728515625,1494.5986328125,0.0,4659.0,5205.0,5751.0,8021.0,-2.237143039703369,5.132458209991455,0.0
