game_id,season,week,gameday,weekday,home_team,away_team,predicted_winner,home_win_probability,away_win_probability,confidence,edge,expected_value,kelly_bet,fixed_stake_bet,threshold_bet,proportional_bet,confidence_category
2025_03_MIA_BUF,2025,3,2025-09-18,Thursday,BUF,MIA,BUF,0.6921988015866464,0.3078011984133536,0.6921988015866464,0.1686385921625626,0.32140751222890795,500.0,200.0,200.0,230.5,Medium (60-70%)
2025_07_TB_DET,2025,7,2025-10-20,Monday,DET,TB,DET,0.6883202687968487,0.3116797312031513,0.6883202687968487,0.16476005937276494,0.31400339313318426,500.0,200.0,200.0,220.8,Medium (60-70%)
2025_03_DET_BAL,2025,3,2025-09-22,Monday,BAL,DET,BAL,0.6861329382582692,0.3138670617417308,0.6861329382582692,0.1625727288341854,0.3098277791350358,500.0,200.0,200.0,215.33,Medium (60-70%)
2025_05_NE_BUF,2025,5,2025-10-05,Sunday,BUF,NE,BUF,0.6860649288155913,0.3139350711844086,0.6860649288155913,0.16250471939150757,0.30969794910896387,500.0,200.0,200.0,215.16,Medium (60-70%)
2025_01_BAL_BUF,2025,1,2025-09-07,Sunday,BUF,BAL,BUF,0.6859968232859905,0.3140031767140094,0.6859968232859905,0.16243661386190678,0.30956793565295593,500.0,200.0,200.0,214.99,Medium (60-70%)
2025_05_HOU_BAL,2025,5,2025-10-05,Sunday,BAL,HOU,BAL,0.6823099506652879,0.3176900493347121,0.6823099506652879,0.1587497412412041,0.3025296958200345,500.0,200.0,200.0,205.77,Medium (60-70%)
2025_04_NO_BUF,2025,4,2025-09-28,Sunday,BUF,NO,BUF,0.6739980051998784,0.3260019948001216,0.6739980051998784,0.15043779577579464,0.28666219192656794,500.0,200.0,200.0,185.0,Medium (60-70%)
2025_09_MIN_DET,2025,9,2025-11-02,Sunday,DET,MIN,DET,0.6720835311539896,0.3279164688460104,0.6720835311539896,0.1485233217299058,0.28300746097296603,500.0,200.0,200.0,180.21,Medium (60-70%)
2025_02_CLE_BAL,2025,2,2025-09-14,Sunday,BAL,CLE,BAL,0.6710547634530631,0.3289452365469368,0.6710547634530631,0.14749455402897937,0.2810435434318975,500.0,200.0,200.0,177.64,Medium (60-70%)
2025_01_DET_GB,2025,1,2025-09-07,Sunday,GB,DET,GB,0.6703276866686191,0.3296723133313809,0.6703276866686191,0.14676747724453532,0.27965555385039387,500.0,200.0,200.0,175.82,Medium (60-70%)
2025_06_LA_BAL,2025,6,2025-10-12,Sunday,BAL,LA,BAL,0.6693333671989479,0.3306666328010521,0.6693333671989479,0.1457731577748641,0.27775739798279153,500.0,200.0,200.0,173.33,Medium (60-70%)
2025_08_CHI_BAL,2025,8,2025-10-26,Sunday,BAL,CHI,BAL,0.6688430220683501,0.3311569779316499,0.6688430220683501,0.14528281264426635,0.27682132912848034,500.0,200.0,200.0,172.11,Medium (60-70%)
2025_08_TEN_IND,2025,8,2025-10-26,Sunday,IND,TEN,IND,0.6643080207387242,0.3356919792612758,0.6643080207387242,0.14074781131464043,0.2681640115902245,500.0,200.0,200.0,160.77,Medium (60-70%)
2025_10_ATL_IND,2025,10,2025-11-09,Sunday,IND,ATL,IND,0.6620572724062994,0.3379427275937006,0.6620572724062994,0.13849706298221565,0.26386733302362564,500.0,200.0,200.0,155.14,Medium (60-70%)
2025_04_CLE_DET,2025,4,2025-09-28,Sunday,DET,CLE,DET,0.6597378064433492,0.3402621935566507,0.6597378064433492,0.13617759701926546,0.2594394725003537,500.0,200.0,200.0,149.34,Medium (60-70%)
2025_09_KC_BUF,2025,9,2025-11-02,Sunday,BUF,KC,BUF,0.657512923672358,0.3424870763276419,0.657512923672358,0.13395271424827426,0.2551921712905315,500.0,200.0,200.0,143.78,Medium (60-70%)
2025_15_IND_SEA,2025,15,2025-12-14,Sunday,SEA,IND,SEA,0.6574197396835211,0.3425802603164789,0.6574197396835211,0.1338595302594373,0.25501428305584173,500.0,200.0,200.0,143.55,Medium (60-70%)
2025_13_MIN_SEA,2025,13,2025-11-30,Sunday,SEA,MIN,SEA,0.6563208167937891,0.3436791832062109,0.6563208167937891,0.1327606073697053,0.2529164392593434,500.0,200.0,200.0,140.8,Medium (60-70%)
2025_15_MIN_DAL,2025,15,2025-12-14,Sunday,DAL,MIN,DAL,0.6561733242126634,0.3438266757873366,0.6561733242126634,0.13261311478857962,0.2526348759219744,500.0,200.0,200.0,140.43,Medium (60-70%)
2025_13_HOU_IND,2025,13,2025-11-30,Sunday,IND,HOU,IND,0.6561584756162667,0.3438415243837333,0.6561584756162667,0.13259826619218296,0.25260652995145316,500.0,200.0,200.0,140.4,Medium (60-70%)
2025_05_DEN_PHI,2025,5,2025-10-05,Sunday,PHI,DEN,PHI,0.6555775777349653,0.3444224222650347,0.6555775777349653,0.1320173683108815,0.2514975958960487,500.0,200.0,200.0,138.94,Medium (60-70%)
2025_16_LA_SEA,2025,16,2025-12-18,Thursday,SEA,LA,SEA,0.6554881255104753,0.3445118744895247,0.6554881255104753,0.13192791608639154,0.2513268315994974,500.0,200.0,200.0,138.72,Medium (60-70%)
2025_13_GB_DET,2025,13,2025-11-27,Thursday,DET,GB,DET,0.6553905783478454,0.3446094216521546,0.6553905783478454,0.13183036892376165,0.25114061406603694,500.0,200.0,200.0,138.48,Medium (60-70%)
2025_02_WAS_GB,2025,2,2025-09-11,Thursday,GB,WAS,GB,0.6541231521084583,0.3458768478915417,0.6541231521084583,0.13056294268437452,0.24872109737504688,500.0,200.0,200.0,135.31,Medium (60-70%)
2025_02_CHI_DET,2025,2,2025-09-14,Sunday,DET,CHI,DET,0.6540617553412842,0.3459382446587158,0.6540617553412842,0.13050154591720042,0.24860389094651159,500.0,200.0,200.0,135.15,Medium (60-70%)
2025_14_DAL_DET,2025,14,2025-12-04,Thursday,DET,DAL,DET,0.6527385426782236,0.3472614573217764,0.6527385426782236,0.12917833325413985,0.24607787797272895,500.0,200.0,200.0,131.85,Medium (60-70%)
2025_13_KC_DAL,2025,13,2025-11-27,Thursday,DAL,KC,DAL,0.6509036560399455,0.3490963439600545,0.6509036560399455,0.12734344661586172,0.2425750793802559,500.0,200.0,200.0,127.26,Medium (60-70%)
2025_06_ARI_IND,2025,6,2025-10-12,Sunday,IND,ARI,IND,0.6506329525587522,0.3493670474412478,0.6506329525587522,0.12707274313466843,0.24205830643465798,500.0,200.0,200.0,126.58,Medium (60-70%)
2025_11_TB_BUF,2025,11,2025-11-16,Sunday,BUF,TB,BUF,0.6506318750177263,0.3493681249822736,0.6506318750177263,0.12707166559364258,0.24205624940883963,500.0,200.0,200.0,126.58,Medium (60-70%)
2025_06_CIN_GB,2025,6,2025-10-12,Sunday,GB,CIN,GB,0.6498377483135468,0.3501622516864532,0.6498377483135468,0.12627753888946303,0.24054026153056085,500.0,200.0,0.0,124.59,Medium (60-70%)
2025_12_NYG_DET,2025,12,2025-11-23,Sunday,DET,NYG,DET,0.6497626173446889,0.3502373826553111,0.6497626173446889,0.1262024079206051,0.24039683651101107,500.0,200.0,0.0,124.41,Medium (60-70%)
2025_16_PIT_DET,2025,16,2025-12-21,Sunday,DET,PIT,DET,0.6493525018555429,0.350647498144457,0.6493525018555429,0.12579229243145917,0.23961392604223153,500.0,200.0,0.0,123.38,Medium (60-70%)
2025_12_IND_KC,2025,12,2025-11-23,Sunday,KC,IND,KC,0.647963443315908,0.3520365566840919,0.647963443315908,0.12440323389182428,0.2369622132900685,500.0,200.0,0.0,119.91,Medium (60-70%)
2025_16_SF_IND,2025,16,2025-12-22,Monday,IND,SF,IND,0.6478983975070947,0.3521016024929053,0.6478983975070947,0.12433818808301089,0.23683804084104376,500.0,200.0,0.0,119.75,Medium (60-70%)
2025_16_LAC_DAL,2025,16,2025-12-21,Sunday,DAL,LAC,DAL,0.6475427276545029,0.352457272345497,0.6475427276545029,0.12398251823041917,0.23615906709244616,500.0,200.0,0.0,118.86,Medium (60-70%)
2025_10_ARI_SEA,2025,10,2025-11-09,Sunday,SEA,ARI,SEA,0.6471273413967555,0.3528726586032444,0.6471273413967555,0.12356713197267177,0.23536609472640635,500.0,200.0,0.0,117.82,Medium (60-70%)
2025_05_DET_CIN,2025,5,2025-10-05,Sunday,CIN,DET,CIN,0.6463315482539224,0.3536684517460776,0.6463315482539224,0.1227713388298386,0.2338469256167378,500.0,200.0,0.0,115.83,Medium (60-70%)
2025_04_CIN_DEN,2025,4,2025-09-29,Monday,DEN,CIN,DEN,0.6459739413553095,0.3540260586446905,0.6459739413553095,0.12241373193122573,0.2331642540472858,500.0,200.0,0.0,114.93,Medium (60-70%)
2025_05_TB_SEA,2025,5,2025-10-05,Sunday,SEA,TB,SEA,0.6459197881521399,0.3540802118478601,0.6459197881521399,0.12235957872805614,0.23306087558243516,500.0,200.0,0.0,114.8,Medium (60-70%)
2025_15_BAL_CIN,2025,15,2025-12-14,Sunday,CIN,BAL,CIN,0.6457127943010406,0.3542872056989594,0.6457127943010406,0.1221525848769568,0.23266572432068644,500.0,200.0,0.0,114.28,Medium (60-70%)
2025_12_PHI_DAL,2025,12,2025-11-23,Sunday,DAL,PHI,DAL,0.6451326720626533,0.3548673279373466,0.6451326720626533,0.12157246263856958,0.23155827096760528,500.0,200.0,0.0,112.83,Medium (60-70%)
2025_03_DEN_LAC,2025,3,2025-09-21,Sunday,LAC,DEN,LAC,0.645085661011402,0.354914338988598,0.645085661011402,0.1215254515873182,0.23146852687076636,500.0,200.0,0.0,112.71,Medium (60-70%)
2025_08_BUF_CAR,2025,8,2025-10-26,Sunday,CAR,BUF,CAR,0.6444148815050993,0.3555851184949007,0.6444148815050993,0.12085467208101552,0.23018800879323453,500.0,200.0,0.0,111.04,Medium (60-70%)
2025_06_BUF_ATL,2025,6,2025-10-13,Monday,ATL,BUF,ATL,0.6444101108080269,0.3555898891919731,0.6444101108080269,0.12084990138394314,0.2301789015325234,500.0,200.0,0.0,111.03,Medium (60-70%)
2025_02_JAX_CIN,2025,2,2025-09-14,Sunday,CIN,JAX,CIN,0.6436093614595899,0.3563906385404101,0.6436093614595899,0.12004915203550615,0.22865027102635715,500.0,200.0,0.0,109.02,Medium (60-70%)
2025_02_BUF_NYJ,2025,2,2025-09-14,Sunday,NYJ,BUF,NYJ,0.6430588841834632,0.3569411158165367,0.6430588841834632,0.11949867475937948,0.2275994099062314,500.0,200.0,0.0,107.65,Medium (60-70%)
2025_12_NE_CIN,2025,12,2025-11-23,Sunday,CIN,NE,CIN,0.64304123176872,0.35695876823128,0.64304123176872,0.1194810223446362,0.2275657114464864,500.0,200.0,0.0,107.6,Medium (60-70%)
2025_04_PHI_TB,2025,4,2025-09-28,Sunday,TB,PHI,TB,0.6428837415161883,0.3571162584838117,0.6428837415161883,0.11932353209210456,0.22726506255440349,500.0,200.0,0.0,107.21,Medium (60-70%)
